2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 62 with execution time 63 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 63 with execution time 63 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 64 with execution time 62 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 65 with execution time 69 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 66 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 67 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 68 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 69 with execution time 68 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 70 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 71 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 72 with execution time 67 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 73 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 74 with execution time 62 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 75 with execution time 65 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 76 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 77 with execution time 62 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 78 with execution time 65 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 79 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 80 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 81 with execution time 66 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 82 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 83 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 84 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 85 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 86 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 87 with execution time 74 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 88 with execution time 63 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 89 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 90 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 91 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 92 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 93 with execution time 74 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 94 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 95 with execution time 65 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 96 with execution time 68 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 97 with execution time 63 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 98 with execution time 65 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 99 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : SimulationManager -  Orchestration algorithm= TRADE_OFF -  Architecture= EDGE_ONLY -  number of edge devices= 100
2022/08/15 21:26:22 - simulation time       0 (s) : SimulationManager - Simulation: 1  , iteration: 1
2022/08/15 21:26:22 - simulation time   60.06 (s) : 60.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 99 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   60.06 (s) : 60.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 94 assigned to EDGE_DATACENTER vm: 2
2022/08/15 21:26:22 - simulation time   60.06 (s) : 60.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 22 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   60.06 (s) : 60.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 71 assigned to EDGE_DATACENTER vm: 1
2022/08/15 21:26:22 - simulation time   60.06 (s) : 60.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 46 assigned to EDGE_DATACENTER vm: 2
2022/08/15 21:26:22 - simulation time   61.06 (s) : 61.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 39 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   61.06 (s) : 61.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 10 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   61.06 (s) : 61.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 13 assigned to EDGE_DATACENTER vm: 2
2022/08/15 21:26:22 - simulation time   61.06 (s) : 61.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 82 assigned to EDGE_DATACENTER vm: 1
2022/08/15 21:26:22 - simulation time   61.06 (s) : 61.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 48 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   61.06 (s) : 61.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 47 assigned to EDGE_DATACENTER vm: 2
2022/08/15 21:26:22 - simulation time   62.06 (s) : 62.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 9 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   62.06 (s) : 62.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 84 assigned to EDGE_DATACENTER vm: 1
2022/08/15 21:26:22 - simulation time   62.06 (s) : 62.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 38 assigned to EDGE_DATACENTER vm: 2
2022/08/15 21:26:22 - simulation time   62.06 (s) : 62.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 77 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   62.06 (s) : 62.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 64 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   63.06 (s) : 63.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 15 assigned to EDGE_DATACENTER vm: 2
2022/08/15 21:26:22 - simulation time   63.06 (s) : 63.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 42 assigned to EDGE_DATACENTER vm: 3
2022/08/15 21:26:22 - simulation time   63.06 (s) : 63.06: class com.mechalikh.pureedgesim.tasksorchestration.DefaultOrchestrator Task: 60 assigned to EDGE_DATACENTER vm: 1
